pH,Temperature,Taste,Odor,Fat_Content,Titratable_Acidity,Protein_Content,Lactose_Content,TPC,SCC,Color,Label
6.74,5.9,1,1,3.87,0.136,3.1,5.07,173400,77700,1,High
6.78,7.0,0,1,3.15,0.166,2.87,4.4,552900,282200,1,Medium
6.69,3.8,1,1,4.09,0.135,3.3,4.64,168100,245100,1,High
6.69,3.2,1,1,4.11,0.123,3.36,4.63,138200,73400,1,High
7.17,25.0,1,0,3.0,0.217,2.35,4.04,6323300,1025700,1,Low
6.62,5.2,1,1,4.68,0.125,3.14,4.74,66900,72800,1,High
7.13,19.8,0,1,2.84,0.294,2.41,4.37,7250200,744400,0,Low
6.84,9.3,1,1,3.39,0.175,2.87,4.46,1767700,342400,1,Medium
6.79,2.8,1,1,4.76,0.143,3.14,5.07,168100,156100,1,High
7.08,11.7,0,1,2.8,0.309,2.51,3.74,5891300,829300,1,Low
6.83,8.7,0,1,3.29,0.17,3.08,4.43,1865600,324700,1,Medium
6.84,7.6,1,1,3.3,0.17,3.15,4.41,1517300,265800,0,Medium
6.72,4.2,1,1,4.55,0.147,3.09,4.75,28900,40900,1,High
6.68,2.1,1,1,4.48,0.123,3.05,5.07,88700,125300,1,High
6.82,8.2,1,1,3.09,0.165,3.09,4.47,1089300,328700,1,Medium
6.65,3.5,1,1,4.58,0.135,3.08,4.96,179200,131700,1,High
6.73,6.3,1,1,3.08,0.173,3.01,4.57,327600,273900,1,Medium
6.74,9.9,0,1,3.34,0.168,3.08,4.64,1295800,394000,1,Medium
7.04,11.9,0,1,2.44,0.299,2.51,4.15,7996500,1143200,0,Low
6.96,12.4,0,0,2.95,0.207,2.34,4.23,7104700,999500,0,Low
6.68,3.1,1,1,4.31,0.131,3.18,4.84,16600,151500,1,High
6.78,3.3,1,1,4.26,0.141,3.41,5.14,240200,156900,1,High
7.01,21.3,0,1,2.97,0.194,2.71,3.59,6585000,457200,0,Low
7.11,21.0,1,0,2.23,0.269,2.94,4.04,2651000,1125100,0,Low
6.7,7.4,1,1,3.21,0.173,3.04,4.48,1916800,298300,1,Medium
6.71,2.8,1,1,4.5,0.163,3.31,4.61,172900,107400,1,High
6.37,20.8,1,1,2.9,0.309,2.71,3.69,2489900,567900,0,Low
6.34,15.8,1,1,2.8,0.293,2.59,3.65,7984300,1040100,0,Low
6.77,2.1,1,1,4.16,0.168,3.43,4.65,73500,115500,1,High
6.68,5.5,1,1,3.45,0.138,3.47,4.7,121400,61800,1,High
6.8,6.3,1,1,3.15,0.165,3.03,4.61,1979700,272800,1,Medium
6.57,9.4,1,0,3.11,0.173,3.09,4.6,840100,334400,1,Medium
6.98,23.2,1,0,2.23,0.343,2.65,3.55,7863300,1118200,0,Low
6.53,11.3,1,0,2.19,0.346,2.94,3.79,7253900,798500,1,Low
6.72,2.1,1,1,4.23,0.151,3.06,4.62,75100,169900,1,High
7.09,21.9,0,1,2.35,0.296,2.55,3.54,2178000,562100,0,Low
6.8,2.2,1,1,3.62,0.162,3.31,4.87,128000,68000,1,High
6.64,2.1,1,1,3.75,0.127,3.36,4.78,157300,173600,1,High
6.28,14.3,0,0,2.89,0.187,2.78,4.39,5916100,610500,1,Low
6.61,5.5,1,1,3.3,0.125,3.09,4.8,111500,71600,1,High
6.6,3.9,1,1,3.76,0.165,3.41,4.61,49500,50600,1,High
6.98,15.2,0,1,3.12,0.202,2.83,4.02,6568500,755700,0,Low
6.44,22.8,1,0,3.01,0.315,2.43,4.37,5185000,931500,0,Low
6.6,2.2,1,1,3.73,0.122,3.14,4.57,47300,159000,1,High
6.65,3.6,1,1,3.76,0.151,3.05,4.65,235900,200200,1,High
6.68,2.4,1,1,4.7,0.133,3.29,5.13,278100,109300,1,High
7.05,13.9,0,0,2.26,0.244,2.49,4.34,7311300,337500,0,Low
6.29,21.6,0,0,2.47,0.193,2.75,4.0,3561000,1021100,0,Low
6.51,22.5,0,1,2.03,0.182,2.77,4.17,3066300,773400,1,Low
6.51,10.3,1,0,2.61,0.292,2.8,4.35,5954000,721200,0,Low
6.71,3.6,1,1,4.14,0.133,3.31,5.17,181300,128300,1,High
6.75,6.4,0,1,3.25,0.162,2.97,4.35,364200,294300,1,Medium
6.63,7.1,1,1,3.37,0.184,2.96,4.61,1072700,410700,1,Medium
6.69,7.1,1,1,3.16,0.162,2.97,4.39,705900,337400,1,Medium
6.63,3.0,1,1,4.34,0.165,3.1,5.06,127800,79400,1,High
6.61,9.3,1,1,3.09,0.178,2.91,4.39,1043900,319600,1,Medium
6.7,3.8,1,1,4.59,0.124,3.23,4.82,222100,44800,1,High
6.63,2.6,1,1,4.12,0.17,3.24,5.15,245200,128900,1,High
6.65,6.2,1,1,3.1,0.162,3.06,4.62,430600,321200,1,Medium
6.65,5.9,1,1,4.42,0.126,3.48,5.18,139200,129700,1,High
6.57,7.6,1,1,3.2,0.184,2.9,4.34,640600,350100,1,Medium
6.65,4.6,1,1,4.03,0.152,3.24,4.59,70900,112600,1,High
6.96,19.1,0,1,2.6,0.187,2.63,4.18,2859000,475700,1,Low
6.41,24.8,1,0,3.06,0.183,2.92,4.17,3775000,520600,0,Low
6.62,2.8,1,1,4.11,0.17,3.08,5.16,156000,156400,1,High
6.72,4.9,1,1,4.62,0.153,3.37,4.58,149900,84800,1,High
6.78,2.9,1,1,4.77,0.15,3.2,5.13,248500,220400,1,High
6.57,8.6,1,1,3.28,0.166,3.11,4.32,352800,347700,1,Medium
6.63,9.7,1,1,3.28,0.183,2.99,4.39,1978800,439500,1,Medium
6.58,8.3,1,0,3.21,0.164,2.96,4.62,1115100,340100,1,Medium
6.77,3.3,1,1,3.6,0.135,3.27,4.9,173600,47300,1,High
6.59,9.5,1,0,3.34,0.161,3.08,4.57,726700,263100,1,Medium
6.47,14.4,0,0,2.18,0.214,2.64,3.75,6538400,774000,0,Low
6.96,15.4,1,1,2.48,0.242,2.79,4.23,5763600,872600,0,Low
6.61,8.1,1,1,3.26,0.166,2.85,4.34,1162000,438500,1,Medium
6.72,3.2,1,1,3.57,0.145,3.29,4.7,161000,90500,1,High
6.78,6.9,1,1,3.21,0.165,3.01,4.36,811900,423400,0,Medium
6.74,8.4,1,0,3.26,0.177,3.02,4.41,1754100,405900,1,Medium
6.85,8.7,1,0,3.24,0.17,3.01,4.56,1406000,318700,1,Medium
6.71,5.2,1,1,4.66,0.13,3.29,4.94,26300,146300,1,High
6.25,14.2,0,0,3.12,0.196,2.55,4.31,3810900,662100,0,Low
6.7,2.4,1,1,3.62,0.135,3.44,4.8,18900,139500,1,High
6.78,6.4,1,1,3.19,0.19,3.13,4.52,841700,351800,1,Medium
6.68,7.4,1,1,3.17,0.169,2.93,4.47,999100,323900,0,Medium
6.67,2.5,1,1,3.56,0.144,3.43,4.64,56700,188700,1,High
6.39,15.8,1,0,2.98,0.306,2.77,4.24,3177400,617100,0,Low
6.63,4.2,1,1,4.15,0.147,3.26,5.09,101800,207700,1,High
7.19,17.4,0,0,2.94,0.248,2.66,4.39,4556500,741100,1,Low
6.61,3.0,1,1,4.51,0.133,3.27,5.12,16400,22300,1,High
6.83,6.3,1,0,3.18,0.187,2.87,4.56,1850700,401600,1,Medium
6.59,6.1,1,0,3.11,0.187,3.09,4.54,442500,357300,1,Medium
6.62,6.4,1,0,3.24,0.178,2.86,4.55,1428800,301100,1,Medium
6.71,6.4,1,0,3.09,0.163,2.92,4.58,469400,293000,1,Medium
6.6,7.2,1,0,3.08,0.19,2.99,4.57,1316300,347800,1,Medium
6.61,8.1,1,1,3.32,0.161,2.91,4.63,1236300,341700,0,Medium
6.77,5.0,1,1,4.66,0.168,3.28,4.63,240500,70300,1,High
6.79,4.7,1,1,4.74,0.14,3.3,4.81,224700,80500,1,High
6.64,7.9,1,1,3.22,0.16,2.98,4.62,1815200,310300,0,Medium
6.77,5.5,1,1,4.41,0.14,3.5,5.18,204600,150800,1,High
6.2,10.7,0,1,2.42,0.291,2.49,4.06,5272000,367700,1,Low
6.67,8.3,0,1,3.25,0.17,3.02,4.45,1620600,343300,1,Medium
6.71,7.6,1,0,3.29,0.165,2.86,4.41,1516900,381500,1,Medium
6.52,15.8,0,0,2.84,0.347,2.59,4.08,2765100,906400,0,Low
6.65,6.8,1,1,3.34,0.168,3.14,4.64,1645100,431000,1,Medium
6.52,23.2,1,0,2.05,0.252,2.34,3.97,2040500,813500,0,Low
6.71,2.9,1,1,3.61,0.143,3.24,5.06,257500,196800,1,High
6.67,7.9,1,0,3.07,0.184,2.98,4.44,1991500,388100,1,Medium
7.06,18.7,0,0,2.16,0.32,2.79,3.99,5276000,321100,0,Low
6.77,5.7,1,1,3.41,0.149,3.31,5.13,38600,74800,1,High
6.78,9.5,1,0,3.37,0.17,3.14,4.49,1957900,384600,1,Medium
6.68,2.7,1,1,4.29,0.122,3.22,4.89,179700,208600,1,High
6.76,7.7,1,1,3.36,0.188,3.1,4.33,583000,401200,0,Medium
6.66,6.3,1,1,3.29,0.184,3.03,4.4,1713800,301300,1,Medium
6.75,8.2,1,1,3.34,0.188,3.1,4.61,613600,393500,1,Medium
6.7,9.3,1,1,3.2,0.162,2.95,4.39,1384700,368700,0,Medium
6.36,16.2,1,0,2.51,0.257,2.83,4.38,5899600,1166400,0,Low
6.58,6.1,1,1,3.12,0.161,3.1,4.55,322000,397000,1,Medium
6.71,8.9,0,1,3.34,0.162,2.94,4.36,1351600,348600,1,Medium
6.74,5.9,1,1,3.83,0.131,3.07,4.69,21900,239900,1,High
6.79,6.8,0,1,3.23,0.183,2.99,4.58,1976200,298600,1,Medium
6.66,6.3,1,1,3.09,0.171,2.9,4.43,709200,277000,0,Medium
6.78,5.5,1,1,3.83,0.151,3.43,5.18,60500,187800,1,High
6.28,24.2,1,1,2.66,0.189,2.33,3.77,4832100,575800,0,Low
6.61,3.5,1,1,4.37,0.166,3.13,4.97,235400,58600,1,High
6.62,2.2,1,1,4.1,0.155,3.14,4.56,276100,72300,1,High
6.8,8.0,1,0,3.11,0.184,3.0,4.47,1598100,340900,1,Medium
6.8,4.0,1,1,3.75,0.127,3.07,5.11,279700,226000,1,High
6.7,3.8,1,1,3.8,0.133,3.41,4.57,154800,187400,1,High
6.72,9.8,1,1,3.39,0.178,2.87,4.63,1699400,405500,0,Medium
6.81,9.5,1,1,3.12,0.186,3.06,4.56,1157100,404300,1,Medium
6.62,2.3,1,1,4.37,0.135,3.36,4.91,15600,81600,1,High
6.74,2.8,1,1,3.4,0.156,3.22,4.62,49300,223800,1,High
7.17,14.5,0,0,3.04,0.284,2.43,4.35,6350400,1026100,0,Low
6.57,9.0,0,1,3.18,0.18,2.98,4.36,792400,296200,1,Medium
6.62,3.5,1,1,4.01,0.153,3.07,4.71,145600,79600,1,High
6.28,19.5,0,1,2.94,0.265,2.58,4.21,3544600,582300,0,Low
6.27,24.3,1,0,2.92,0.346,2.39,3.68,6727100,993800,0,Low
6.71,3.2,1,1,3.95,0.139,3.19,4.82,138600,128000,1,High
6.75,7.9,0,1,3.14,0.173,2.94,4.38,1168900,434700,1,Medium
7.13,22.0,1,1,2.04,0.284,2.52,3.61,3546000,437600,0,Low
6.92,24.1,0,0,2.57,0.31,2.37,4.33,3426900,781000,0,Low
6.98,17.5,0,0,2.78,0.342,2.71,3.7,3087900,396600,0,Low
6.61,7.3,1,0,3.18,0.181,2.85,4.45,1572200,354300,1,Medium
6.96,14.1,0,0,2.93,0.2,2.77,3.71,5794700,519800,0,Low
6.75,6.4,1,0,3.23,0.172,3.05,4.48,1498600,294300,1,Medium
6.69,3.6,1,1,3.43,0.12,3.27,5.04,220600,213800,1,High
6.7,8.8,1,1,3.33,0.179,2.87,4.64,1094000,388800,1,Medium
6.8,3.1,1,1,4.4,0.125,3.28,5.13,167700,225300,1,High
6.93,23.1,0,0,2.95,0.299,2.58,3.94,7086900,806200,0,Low
6.68,2.1,1,1,4.22,0.137,3.19,5.07,174800,176100,1,High
6.78,6.6,1,1,3.37,0.17,3.08,4.34,793600,360100,0,Medium
6.74,5.7,1,1,3.42,0.131,3.35,4.58,74700,218600,1,High
6.78,2.2,1,1,4.8,0.129,3.08,4.64,243000,81100,1,High
6.77,4.5,1,1,4.67,0.158,3.43,5.05,180400,198800,1,High
6.86,16.3,0,0,3.16,0.233,2.38,4.24,7789900,1124400,0,Low
6.62,4.7,1,1,4.33,0.147,3.39,5.2,288800,40100,1,High
6.74,4.2,1,1,4.64,0.12,3.29,5.13,118400,204300,1,High
6.7,4.1,1,1,4.68,0.166,3.07,5.09,224100,208400,1,High
6.73,2.8,1,1,4.0,0.121,3.34,4.69,193300,247300,1,High
6.73,8.6,1,0,3.18,0.162,3.03,4.58,539600,437300,1,Medium
6.21,20.4,0,0,2.77,0.345,2.73,4.12,7066600,1199000,1,Low
6.68,4.7,1,1,3.92,0.166,3.25,4.98,228700,66400,1,High
6.79,2.6,1,1,3.74,0.121,3.12,4.76,76600,173600,1,High
6.63,7.3,1,1,3.14,0.168,3.14,4.5,1324200,374000,1,Medium
6.79,8.0,0,1,3.24,0.188,2.88,4.54,1250600,289100,1,Medium
6.59,7.6,1,1,3.1,0.164,3.12,4.32,522000,320100,1,Medium
6.74,4.1,1,1,4.53,0.155,3.15,5.07,197500,161900,1,High
6.93,23.5,0,1,3.0,0.288,2.63,4.29,7123800,590400,1,Low
6.8,8.3,0,1,3.1,0.164,2.92,4.42,1386200,290800,1,Medium
6.76,4.5,1,1,4.2,0.155,3.32,5.04,13700,118700,1,High
6.22,10.2,0,1,2.92,0.262,2.46,3.55,5858200,850800,1,Low
6.72,6.1,1,1,3.17,0.165,2.92,4.57,1105500,431600,1,Medium
6.66,8.7,1,1,3.26,0.168,3.11,4.65,1308200,334600,1,Medium
6.7,7.4,1,1,3.19,0.177,2.89,4.61,453100,343800,0,Medium
6.73,9.5,1,1,3.15,0.166,3.0,4.45,730100,314100,1,Medium
6.63,9.2,1,1,3.35,0.177,3.11,4.54,1053100,401700,1,Medium
6.57,8.5,0,1,3.18,0.169,3.12,4.52,1886900,295900,1,Medium
6.7,6.1,1,0,3.33,0.164,3.11,4.4,818800,299400,1,Medium
7.14,17.1,1,0,2.84,0.335,2.49,4.37,5809700,399600,1,Low
6.46,23.7,0,0,2.77,0.314,2.37,3.57,3355400,681600,0,Low
6.67,8.3,0,1,3.25,0.179,2.9,4.37,1985700,390400,1,Medium
6.48,11.0,1,0,2.08,0.28,2.41,3.85,4992500,1154200,0,Low
6.76,8.9,1,1,3.14,0.187,3.01,4.49,457100,349100,0,Medium
6.77,6.2,1,1,3.09,0.171,2.91,4.62,553300,376100,0,Medium
6.73,8.8,1,0,3.26,0.162,2.85,4.6,1934500,305000,1,Medium
6.72,3.3,1,1,4.59,0.146,3.11,4.6,191700,166700,1,High
6.66,7.9,1,1,3.21,0.166,2.88,4.65,1842500,291200,1,Medium
6.75,2.9,1,1,4.56,0.141,3.34,4.99,294400,128000,1,High
6.71,5.5,1,1,3.69,0.159,3.16,4.8,90300,75500,1,High
6.63,9.6,1,1,3.19,0.176,2.96,4.59,751700,258700,1,Medium
6.6,2.7,1,1,4.76,0.159,3.2,5.03,274400,169700,1,High
6.77,3.5,1,1,3.63,0.128,3.23,4.97,42200,31500,1,High
6.78,4.9,1,1,3.46,0.168,3.09,5.11,50300,171700,1,High
6.61,7.4,1,1,3.31,0.171,3.03,4.33,1478000,422200,1,Medium
6.67,2.9,1,1,3.37,0.156,3.37,5.14,198100,108100,1,High
6.34,22.2,0,1,3.05,0.247,2.7,3.58,6874000,939600,0,Low
6.59,8.4,1,1,3.07,0.17,3.14,4.36,1068600,386000,1,Medium
6.63,7.7,0,1,3.32,0.176,3.13,4.54,1533500,380700,1,Medium
6.72,4.9,1,1,4.6,0.148,3.21,4.77,41000,192700,1,High
6.97,20.9,1,0,2.43,0.219,2.31,3.8,2525400,370600,0,Low
7.02,21.5,0,0,2.72,0.335,2.69,4.19,2029600,567100,0,Low
6.66,3.9,1,1,4.24,0.165,3.21,4.86,275900,246500,1,High
6.58,7.5,1,1,3.11,0.185,3.05,4.38,1741200,378000,1,Medium
6.67,4.3,1,1,3.65,0.136,3.07,5.14,50500,178300,1,High
6.8,5.4,1,1,3.84,0.126,3.07,5.1,38500,218800,1,High
6.56,7.7,1,1,3.18,0.162,2.99,4.5,1986500,271200,1,Medium
6.83,8.4,1,1,3.31,0.17,2.87,4.33,1533100,258500,1,Medium
6.71,6.2,0,1,3.39,0.163,3.0,4.51,677900,357600,1,Medium
6.59,7.6,1,1,3.39,0.172,2.87,4.41,1416700,267000,1,Medium
6.84,6.6,1,1,3.06,0.181,2.91,4.43,897500,325000,1,Medium
6.8,6.4,1,0,3.38,0.171,3.06,4.63,573000,280000,1,Medium
6.66,9.2,0,1,3.16,0.184,2.9,4.61,1893900,317300,1,Medium
6.63,2.1,1,1,3.72,0.143,3.32,5.02,70600,45300,1,High
6.21,23.7,1,0,2.22,0.243,2.83,4.3,3541800,854900,0,Low
6.68,9.0,1,0,3.06,0.167,2.91,4.47,1457700,340400,1,Medium
6.74,9.8,1,0,3.09,0.175,2.9,4.46,1589200,359900,1,Medium
6.77,2.5,1,1,4.77,0.124,3.28,4.59,90900,229600,1,High
6.45,25.0,0,0,2.64,0.306,2.52,4.05,7076200,630600,0,Low
6.75,2.1,1,1,3.67,0.159,3.13,4.79,14800,143800,1,High
6.5,20.3,0,1,2.55,0.264,2.88,4.28,5215300,624800,0,Low
6.98,12.5,0,1,2.93,0.193,2.35,4.22,2156600,994300,0,Low
6.37,11.5,0,1,2.79,0.183,2.88,4.23,4490500,784600,0,Low
6.7,8.4,0,1,3.38,0.164,3.03,4.53,510600,416300,1,Medium
6.66,8.0,0,1,3.05,0.166,2.97,4.41,1590700,432000,1,Medium
6.79,3.2,1,1,4.0,0.149,3.16,5.11,124000,152700,1,High
6.61,9.0,1,0,3.12,0.186,2.86,4.55,640200,271700,1,Medium
6.66,6.6,1,1,3.28,0.182,3.15,4.39,838900,351600,1,Medium
6.6,6.9,1,1,3.14,0.185,3.03,4.45,710800,384700,1,Medium
7.06,12.2,1,1,2.46,0.205,2.92,3.85,6643300,794100,0,Low
6.42,23.8,0,1,2.68,0.272,2.49,4.25,4363300,1142800,1,Low
6.22,17.5,0,0,2.93,0.237,2.9,4.26,5028600,552800,0,Low
6.53,18.5,0,0,3.12,0.282,2.93,3.5,7827800,839700,1,Low
6.97,24.4,1,0,2.8,0.21,2.8,3.94,4927100,894300,0,Low
6.8,9.8,1,1,3.27,0.178,2.95,4.32,1242600,252900,1,Medium
6.73,9.6,1,1,3.21,0.17,2.95,4.48,368800,292200,1,Medium
6.72,3.7,1,1,4.29,0.129,3.06,4.6,277600,226300,1,High
6.93,23.2,0,1,2.39,0.317,2.58,4.39,3768000,609500,1,Low
6.67,3.2,1,1,4.64,0.138,3.08,5.03,236700,158600,1,High
6.65,7.9,1,1,3.27,0.163,2.9,4.5,1712900,401300,1,Medium
6.72,4.8,1,1,3.35,0.154,3.32,4.73,254300,162100,1,High
6.78,2.6,1,1,4.31,0.137,3.45,5.15,59500,121500,1,High
7.17,17.9,0,0,2.56,0.292,2.4,3.75,3467400,1020600,1,Low
6.79,3.5,1,1,4.3,0.135,3.08,4.85,247300,208900,1,High
6.65,9.5,1,1,3.38,0.178,2.98,4.44,1567300,325600,1,Medium
6.71,3.4,1,1,3.42,0.124,3.47,4.82,298500,159400,1,High
6.7,4.6,1,1,3.38,0.15,3.4,5.1,128800,68100,1,High
7.04,13.1,0,0,2.38,0.183,2.5,3.73,2910500,406600,1,Low
6.56,8.6,0,1,3.25,0.186,3.04,4.43,1518500,346100,1,Medium
6.51,21.3,0,0,2.23,0.258,2.6,3.78,5527800,341400,0,Low
6.78,8.6,1,1,3.1,0.162,3.01,4.36,428300,334600,1,Medium
7.05,11.3,0,1,2.13,0.265,2.73,4.36,3479500,750900,1,Low
6.66,5.4,1,1,3.43,0.135,3.08,5.06,277700,206300,1,High
6.61,8.5,1,0,3.34,0.176,2.88,4.51,1147600,388200,1,Medium
6.75,3.5,1,1,3.69,0.168,3.07,4.84,264900,40300,1,High
7.11,16.9,0,0,2.44,0.207,2.82,3.51,7374400,434500,0,Low
6.79,9.3,1,0,3.34,0.179,3.13,4.46,558800,409900,1,Medium
6.57,7.9,1,1,3.29,0.175,2.94,4.63,1477800,281400,0,Medium
6.2,13.6,0,0,2.68,0.184,2.77,3.55,7704000,694200,0,Low
7.1,12.1,1,0,2.99,0.24,2.51,3.88,7326400,1036800,0,Low
6.72,4.2,1,1,3.61,0.136,3.31,4.57,103500,32200,1,High
6.7,5.5,1,1,4.07,0.152,3.46,4.78,19500,60700,1,High
7.19,21.0,0,0,2.85,0.323,2.94,4.05,7906500,654500,0,Low
6.74,8.7,1,0,3.23,0.178,3.07,4.58,1545900,428800,1,Medium
6.65,4.8,1,1,4.31,0.124,3.11,4.66,231200,89800,1,High
7.13,20.2,0,0,3.0,0.205,2.39,3.76,2616100,1169200,1,Low
6.69,2.2,1,1,4.75,0.132,3.14,4.78,180300,93400,1,High
6.31,13.5,1,1,2.74,0.25,2.84,3.73,6962500,656900,0,Low
6.28,15.7,0,1,2.84,0.24,2.57,3.97,5353400,422800,1,Low
6.7,2.4,1,1,4.35,0.168,3.2,5.05,193700,82700,1,High
6.67,5.6,1,1,4.73,0.154,3.18,4.8,83700,91700,1,High
6.62,7.0,1,0,3.14,0.188,2.92,4.51,1781200,280200,1,Medium
6.62,10.0,1,1,3.21,0.185,3.1,4.6,1480400,406600,0,Medium
6.69,2.6,1,1,4.73,0.139,3.26,4.69,107700,78600,1,High
6.75,5.8,1,1,4.55,0.126,3.17,4.87,105800,206800,1,High
6.61,3.8,1,1,4.69,0.145,3.41,5.09,112200,233200,1,High
6.97,10.6,0,1,2.83,0.19,2.44,3.88,4501300,334800,0,Low
6.73,9.3,1,1,3.08,0.166,3.15,4.34,1453500,323000,1,Medium
7.06,10.4,0,0,2.94,0.262,2.43,4.36,2065000,896500,0,Low
6.64,4.8,1,1,4.49,0.135,3.22,4.58,216600,63100,1,High
6.93,13.6,0,1,2.38,0.23,2.51,3.84,2327600,427300,1,Low
6.67,2.2,1,1,3.61,0.154,3.41,4.63,83100,196500,1,High
6.74,7.9,1,1,3.17,0.177,3.09,4.56,786800,445300,0,Medium
6.74,7.2,1,1,3.12,0.183,2.87,4.55,1378600,403300,1,Medium
6.42,14.5,0,0,2.48,0.213,2.6,4.03,3516000,842300,1,Low
6.61,3.6,1,1,3.95,0.159,3.42,4.72,61600,237600,1,High
6.55,8.7,1,1,3.27,0.176,2.94,4.31,1103500,416200,1,Medium
6.76,2.6,1,1,4.31,0.166,3.23,4.8,220200,34400,1,High
6.84,7.2,1,0,3.13,0.179,2.98,4.53,610300,387300,1,Medium
6.26,24.5,0,0,2.56,0.205,2.37,3.72,2534900,406600,0,Low
6.8,7.1,0,1,3.1,0.166,3.01,4.42,1557100,286700,1,Medium
6.74,5.5,1,1,4.53,0.124,3.33,4.88,225000,115800,1,High
6.77,6.8,1,1,3.17,0.171,3.0,4.57,1146700,259400,1,Medium
6.37,12.6,0,1,3.08,0.29,2.81,4.27,2851200,1177500,1,Low
6.71,6.2,1,1,3.24,0.163,3.14,4.52,451000,419100,1,Medium
6.51,14.3,0,0,2.44,0.3,2.48,4.35,7550900,522000,0,Low
6.82,7.1,1,1,3.08,0.183,3.07,4.63,486800,341100,1,Medium
6.72,8.0,0,1,3.11,0.185,3.08,4.37,1281200,265600,1,Medium
6.61,4.0,1,1,4.78,0.122,3.24,4.96,192600,28800,1,High
6.62,5.4,1,1,3.4,0.147,3.08,4.74,234300,116200,1,High
6.35,22.4,0,0,2.05,0.195,2.85,3.82,6214900,312800,1,Low
6.95,10.4,0,0,2.57,0.345,2.65,3.82,4141600,836200,1,Low
6.78,9.9,1,1,3.29,0.162,2.94,4.37,1109000,401600,0,Medium
6.33,12.5,1,1,2.37,0.31,2.86,3.89,2245700,562000,0,Low
6.75,9.0,0,1,3.39,0.168,3.04,4.47,843300,250900,1,Medium
6.95,16.0,0,1,2.7,0.184,2.33,3.62,5709600,534800,0,Low
6.76,3.2,1,1,3.64,0.147,3.23,5.12,234900,47800,1,High
6.74,5.8,1,1,3.44,0.127,3.22,4.67,240500,100400,1,High
6.63,9.2,1,1,3.2,0.173,2.85,4.52,1681200,264800,0,Medium
6.97,24.5,0,0,2.12,0.215,2.89,4.13,2814000,735000,0,Low
6.74,7.9,1,1,3.3,0.188,3.12,4.32,843900,398500,0,Medium
7.01,11.6,1,0,2.95,0.326,2.8,3.92,4436400,913300,1,Low
